category,following,likes,posted,replies,text,title,user,views
Method & Budgeting,,7 hrs ago,,4,How should I work out my monthly budget if I rely on my annual bonus to cover necessary expenditure because my monthly basic salary is insufficient to do so?   Should I carry forward 1/12 of my annual bonus into the months which follow from the date that it has been paid?,Annual bonus,Aquamarine_Commander.13,4
YNAB Wins,5,11,,9,"My wife and I started YNAB 2 months ago and at that time we had about $900 in credit card debt from summer vacations we couldn’t afford to take and an “emergency fund”savings account with a little less than one month’s income in it.   We started working the program and it was super frustrating that we had to budget 5x a month when our paychecks arrived.   So, at the end of September,I paid myself a little extra out of my business and topped up our “Emergency Fund” to be one month of income. I then relabeled the “Emergency Fund” as “30-Day Buffer.”   That means for October, we’ll simply use the 30-Day Buffer to budget completely once at the beginning of the month. Then, we’ll collect our paychecks in a category called “Next Month’s Budget.”   It’s crazy how looking at the same financial picture from a different angle totally changes how it feels.   On the one hand, I’m pumped that we’re buffered and REALLY know whether we can afford things (bye bye personal trainer and HBO.)   On the other hand, one month of buffer is still pretty scary to me since my self-employee income can be erratic. Sure it’s better than being in debt but 30-days is a short amount of time in the scheme of things. Being buffered has made me realize what I need to feel secure. I’m sure that’s different for everyone. It’s at least 90-days is buffer AND an Emergency Fund. I’m sure that sounds crazy to some and like not enough for others.   Anyway, this little switchhas been really eye opening and I highly encourage any of you with Emergency Funds to try it out.   Next baby step,building this buffer out to 60-days!",We’re Buffered!,chris_jacobie,321
App Functions,4,1,,3,"Hey Guys,   I'm sorry if this topic has been already discussed or the suggestion have already been made. As far as I know, there is noreal way to show aincome pie chart or graph by category. The only way we can really check that is in the Income vs Expense tab on the web app.Let me know if there is a way!   It would be great if we could have that kind of feature and see how our income by category evolves every month. See my suggested doodles in my figures to see what I mean.",[Suggestion/Question?] Income Trend Graph in Spending Trend Graph / Pie Chart,Gold_Memory.12,53
Saving,,5 hrs ago,,7,"For others using savings accounts as well as Investment Money Market Accounts (Like the Vanguard VMFXX/VMMXX), how do you determine the the balance of your funds between the two?   My understanding is that your Savings account is safer and has a consistent interest rate (until the Fed changes things and the banks change again of course), while the MMF CAN have a higher rate of return (but not necessarily since they're based one market conditions etc.). It seems both have pretty similar level of access to the funds (a couple days to transfer from either to a checking account if needed - although some bills can be paid directly from a savings account, which I do for most of my credit cards currently).   So I'm wondering what the general strategy is for determining what portion of your funds to keep in what location - percentage? money for certain long term goals? certain amount?.   I'm nowhere near really needing to consider this deeply yet (don't even have $3k in my Vanguard account yet to switch to VMMXX), but I'm trying to get ideas for when I have more funds sitting around and waiting for use (i.e. when I'm saving a car payment every month instead of spending it).",Savings account vs Investment Money Market Fund - How much where?,techiem2,4
Accounts & Transactions,,5 hrs ago,,1,"Betterment Checking has been out for a bit now, but it still isn't able to be added as a connected account, only Betterment's other account types: investments, cash reserve, safety net, etc.   Is this something that can be added/is being worked on?    Thanks!",Betterment Checking as a connected account,Panthon13,2
Getting Started,,3 hrs ago,,4,"Hi,   I just started YNAB this month and it seems to be working except for the starting balance. All my expenses from when I started until today are accounted for but when I go back to double checkwith my bank account, the bank account start balance keeps getting lower and lower. Last week I did my first reconcile and noticed the start balance was different so I readjusted it and reconciled. This week again, the start balance went down and YNAB says I have more money than I should. How long before old charges finally go through? Is this normal? Thanks so much!",My starting balance keeps changing...,Coral_Sander.4,5
Saving,14,1,,47,"New to YNAB, about 3 months. Am really struggling with too many savings categories v debt. I end up spreading thin to meet them all, and not making real progress.   My furnace is starting to get iffy. Had a quote of $7k, by a company upselling me who I no longer trust. It needed cleaning, not replacing.   I have started a furnace fund, because eventually it wont be bs. (Really, you are going to pull that on a mechanical engineer who works at the gas company?) Atmy current rate of contribution it will take 5 years, assuming that price is ball park.   For debt, I snowball. Pay off 1, then add that payment to the next. etc. I will have paid off the next debt in less than a year. Then there is the next one, but that will take longer.   So am realizing I am inclined to pay off debt above everything. I hates it. At the expense of things that will be needed, like the furnace fund.   Tips for getting over myself? How do accept that the furnace is actually important too when the debt is costing money?",Furnace fund v debt,Spring_Green_Lobster.8,372
API & Integrations,8,4,,7,"Hi all!   I've been using YNAB for a while now, I really like it but the biggest pain as it seems is dealing with multiple currencies. I tried the existing apps for this, but never really got used to it, as it only converted currencies once a day in the background, and I wanted to have the correct numbers in my budget right off the bat. So for a while, my solution for foreign currency spending has been typing it into google and then adding the converted amount to YNAB.   Recently I've been working on app that would save me the trip to google each time - basically an interface to convert currencies and add a transaction at the same time. I got it approved by YNAB today and want to share it with the community now. :)   Here's the link:https://cc.lisik.dev/   There is some more info on how to use it and how it's different on the home page.   Feedback would be much appreciated!",[App] Currency Converter for YNAB,Orange_Panther.5,108
Accounts & Transactions,,1 hr ago,,1,"I am just starting out with YNAB so I'm sure I have more learning to do, but this whole transaction thing keeps throwing me off. I linked my bank recently, and I usually add my transactions immediately via the app and then when it comes through the bank a day or two later I just match them up. Well when my utilities payment came through it made my TBB a negative amount (and it's the same amount as my utility payment). I went in to Transactions and just tried to delete one of them, but that didn't help either. What did I do wrong? I'm getting tired of 'fresh starting' a new budget every week. Help!",TBB is negative today but was $0 yesterday.  Bank transaction reconciled and threw it off.  What am I doing wrong?,Steel_Blue_Welder.8,2
Accounts & Transactions,17,2,,33,"I have posted about this before but for most of 2020, YNAB has not really worked as advertised. I cannot get my capital one account to stay connected and when it is connected, it does not upload my transactions to YNAB.   In addition, I have not been able to connect my BOA accounts for over a month now. I filled out the form I was instructed to fill out last week but so far still no resolution.   I have seen, I am not the only person who has these issues. We are paying for the full service. I paid for a year and YNAB has only really kept their end up for 5 or 6 months. Most of 2020 has been one frustration after the next with connection issues.   Why should I pay full price for half the service? Will there be some form of refund for the 2 or 3 months this year YNAB has only semi-worked?",Will YNAB be issuing refunds for the poor connections?,Sky_Blue_Inspector.6,426
Accounts & Transactions,12,1,,16,"Your Security FAQ indicates that you utilize Plaid as one of your transaction import providers. Part of Plaid's business modelis to collect and monetize the transaction information that travels through their service, which is explained in their Privacy Policy. I am a paying YNAB customer and would never, ever agree to knowingly provide this information to Plaid. Are my transactions being harvested by this company?    From their privacy policy:   The information we receive from the financial product and service providers that maintain your financial accounts varies depending on the specific Plaid services developers use to power their applications, as well as the information made available by those providers. But, in general, we collect the following types of identifiers, commercial information, and other personal information from your financial product and service providers:   Account information, including financial institution name, account name, account type, account ownership, branch number, IBAN, BIC, and account and routing number; Information about an account balance, including current and available balance; Information about credit accounts, including due dates, balances owed, payment amounts and dates, transaction history, credit limit, repayment status, and interest rate; Information about loan accounts, including due dates, repayment status, balances, payment amounts and dates, interest rate, guarantor, loan type, payment plan, and terms; Information about investment accounts, including transaction information, type of asset, identifying details about the asset, quantity, price, fees, and cost basis; Identifiers and information about the account owner(s), including name, email address, phone number, date of birth, and address information; Information about account transactions, including amount, date, payee, type, quantity, price, location, involved securities, and a description of the transaction.   Thank you.","Does YNAB use the ""Plaid"" service for transaction import?  If so, are our transactions being provided to and monetized by Plaid?",Violet_Motherboard.6,625
Announcements,4,4,,6,"Today, we're launching YNAB for Good: Free YNAB subscriptions to help your non-profit serve your community.   Read our blogfor Jesse's thoughts and more details on how you can get started within your organization.",YNAB for Good,Veronica_ynab,53
Accounts & Transactions,6,1,,14,I’m trying to put a transaction in for a payment on a visa card. It’s not giving me the option to show activity of being paid,Transaction for a credit card,Blue_Hail.9,115
Community Challenges,365,101,,2531,"Welcome to the Official* 2020 Debt Smackdown!   Happy new year everyone!   That's right, we're back for 2020. Last year we saw about 310 of us brutally destroyabout$3 million in debt.Wow. Right. Massive achievement. Can anyone say 'YNAB blog post'?   But there are plenty of us with still some debt to go. And asmuch as I hate debt, I do love a good spreadsheet, so here we go. A few of us have come into 2020 with some debt remaining. Maybe over spent at Christmas. Either way, this challenge is open to anyone who wants to eradicate that debt from your life. So what's this about? If you are holding onto some debt as you enter 2020- and would like to get rid of it - this challenge is for you. To the participants from last year, welcome back! For some of us, our total debts are too large to smack down completely in one calendar year, so if you're here from last year, congratulations on your progress and let's keep on doing this! In 2019, we collectively paid down over $2,800,000 in debt! An increase of OVER $1,300,000 than in 2018! For all new participants, we are happy to have you join in this year! New blood is always welcome. Let's all motivate each other to pay off those debts and continue moving forward to financial freedom.   How it works:   1. List the amount of total debt that you owe. This step is to give you an awareness of your current debt situation. Feel free to share, this forum is a safe and nonjudgmental place. You can also decide to keep this information private, you don't have to post your total here if you are not comfortable doing so. 2. Post in this thread the total amount of debt you would like to pay off during the 2020calendar year.(This part is required.) Feel free to break down the amounts by credit card/type of debt. Also, if you have a specific plan or some ideas on how you plan to pay down the debt, you can post that too. Maybe your plan will spark some ideas for others on how to tackle their own debts! 3. Check in monthly in this thread and report on how your debt smackdown is going.(This part is required.) 4. Post monthly on the2020Google Sheetto track your progress.(This part is required.) Claim a line on the spreadsheet, and post your total debt to be paid off, and the monthly amount that you send off towards it. Some people track their total payments and don't account for interest, some people account for principal only. The method you choose is up to you! If you come across this challenge later in the year, no worries, you can still jump right in. Just put zeroes in the months where youhad not joined the challenge yet, and start in the month you join in.   Last year, we collectively paid off $2,800,000. Let's smash that number again in 2020!  Please let me know any issues with the sheet - sometimes things are a bit wonky when making new ones!   *Official in the sense that there's a spreadsheet. Not official in the sense that it's made by YNAB. I'm just following naming conventions here :)",The Official 2020 Debt Smackdown,BritishMuseum,8775
